Vehicle_name,Sports,Sport_utility,Wagon,Minivan,Pickup,All_wheel_drive,Rear_wheel_drive,Retail_price,Dealer_cost,Engine_size,Cylinders,Kilowatts,Economy_city,Economy_highway,Weight,Wheel_base,Length,Width
Chevrolet Aveo 4dr,0,0,0,0,0,0,0,23380,21930,1.6,4,77,45,55,1075,249,424,168
Chevrolet Aveo LS 4dr hatch,0,0,0,0,0,0,0,25170,23604,1.6,4,77,45,55,1065,249,389,168
Chevrolet Cavalier 2dr,0,0,0,0,0,0,0,29220,27394,2.2,4,104,42,60,1187,264,465,175
Chevrolet Cavalier 4dr,0,0,0,0,0,0,0,29620,27768,2.2,4,104,42,60,1214,264,465,173
Chevrolet Cavalier LS 2dr,0,0,0,0,0,0,0,32770,30714,2.2,4,104,42,60,1187,264,465,175
Dodge Neon SE 4dr,0,0,0,0,0,0,0,27340,25698,2,4,98,47,58,1171,267,442,170
Dodge Neon SXT 4dr,0,0,0,0,0,0,0,30080,28172,2,4,98,47,58,1191,267,442,170
Ford Focus ZX3 2dr hatch,0,0,0,0,0,0,0,26540,24964,2,4,97,42,53,1185,262,427,170
Ford Focus LX 4dr,0,0,0,0,0,0,0,27460,25812,2,4,82,43,58,1182,262,427,170
Ford Focus SE 4dr,0,0,0,0,0,0,0,30920,28992,2,4,97,42,53,1182,262,427,170
Ford Focus ZX5 5dr,0,0,0,0,0,0,0,31160,29214,2,4,97,42,53,1221,262,427,170
Honda Civic DX 2dr,0,0,0,0,0,0,0,26540,24350,1.7,4,86,51,61,1103,262,445,170
Honda Civic HX 2dr,0,0,0,0,0,0,0,28340,25992,1.7,4,87,58,71,1134,262,445,170
Honda Civic LX 4dr,0,0,0,0,0,0,0,31700,29062,1.7,4,86,51,61,1140,262,445,173
Hyundai Accent 2dr hatch,0,0,0,0,0,0,0,21078,20214,1.6,4,77,47,53,1023,244,424,168
Hyundai Accent GL 4dr,0,0,0,0,0,0,0,23678,22232,1.6,4,77,47,53,1039,244,424,168
Hyundai Accent GT 2dr hatch,0,0,0,0,0,0,0,23878,22418,1.6,4,77,47,53,1061,244,424,168
Hyundai Elantra GLS 4dr,0,0,0,0,0,0,0,27678,25562,2,4,103,42,55,1195,262,452,173
Hyundai Elantra GT 4dr,0,0,0,0,0,0,0,30778,28414,2,4,103,42,55,1195,262,452,173
Hyundai Elantra GT 4dr hatch,0,0,0,0,0,0,0,30778,28414,2,4,103,42,55,1224,262,452,173
Kia Optima LX 4dr,0,0,0,0,0,0,0,32080,29820,2.4,4,103,37,48,1488,269,472,183
Kia Rio 4dr manual,0,0,0,0,0,0,0,20560,19750,1.6,4,78,42,53,1090,241,424,168
Kia Rio 4dr auto,0,0,0,0,0,0,0,22310,21410,1.6,4,78,40,52,1115,241,424,168
Kia Spectra 4dr,0,0,0,0,0,0,0,24720,23260,1.8,4,92,39,52,1207,257,452,173
Kia Spectra GS 4dr hatch,0,0,0,0,0,0,0,27160,25660,1.8,4,92,39,52,1218,257,452,173
Kia Spectra GSX 4dr hatch,0,0,0,0,0,0,0,29260,27580,1.8,4,92,39,52,1223,257,452,173
Mazda3 i 4dr,0,0,0,0,0,0,0,31000,29050,2,4,110,,,1223,,,
Mini Cooper,0,0,0,0,0,0,0,33998,30874,1.6,4,86,45,60,1145,246,363,170
Mitsubishi Lancer ES 4dr,0,0,0,0,0,0,0,29244,27502,2,4,89,,,1205,259,460,170
Mitsubishi Lancer LS 4dr,0,0,0,0,0,0,0,33444,31436,2,4,89,,,1268,259,460,170
Nissan Sentra 1.8 4dr,0,0,0,0,0,0,0,25480,24410,1.8,4,94,45,56,1140,254,452,170
Nissan Sentra 1.8 S 4dr,0,0,0,0,0,0,0,29480,27494,1.8,4,94,45,56,1171,254,452,170
Pontiac Sunfire 1SA 2dr,0,0,0,0,0,0,0,30990,28750,2.2,4,104,39,53,1257,264,462,173
Saturn Ion1 4dr,0,0,0,0,0,0,0,21990,20638,2.2,4,104,42,56,1221,262,470,170
Saturn lon2 4dr,0,0,0,0,0,0,0,28600,26786,2.2,4,104,42,56,1221,262,470,170
Saturn lon3 4dr,0,0,0,0,0,0,0,31650,29622,2.2,4,104,42,56,1221,262,470,170
Saturn lon2 quad coupe 2dr,0,0,0,0,0,0,0,29700,27808,2.2,4,104,42,56,1248,262,470,173
Saturn lon3 quad coupe 2dr,0,0,0,0,0,0,0,32700,30598,2.2,4,104,42,56,1248,262,470,173
Scion xA 4dr hatch,0,0,0,0,0,0,0,25930,24680,1.5,4,81,51,61,1061,236,391,170
Suzuki Aeno S 4dr,0,0,0,0,0,0,0,25768,25438,2.3,4,116,40,50,1214,249,434,173
Suzuki Aerio LX 4dr,0,0,0,0,0,0,0,29000,28634,2.3,4,116,40,50,1214,249,434,173
