carat,cut,color,clarity,depth,table,price,x,y,z,orig.ids
0.34,Very Good,H,VS2,61.9,56,537,4.46,4.49,2.77,48966
1,Very Good,D,SI1,59.3,61,5987,6.45,6.5,3.84,14865
1.58,Very Good,G,VS2,59.6,58,13037,7.59,7.69,4.55,24680
1.1,Premium,F,SI1,59.5,59,5821,6.77,6.7,4.01,14419
0.54,Premium,D,VS2,61.6,55,1913,5.28,5.24,3.24,47892
0.4,Premium,E,SI1,62.2,62,882,4.69,4.66,2.91,35027
1,Good,E,SI1,61.6,62,5784,6.35,6.42,3.93,14289
1.04,Very Good,I,SI1,62.5,62,4175,6.39,6.45,4.01,7136
0.41,Very Good,G,SI2,63.4,58,784,4.73,4.7,2.99,32130
0.31,Very Good,E,SI1,63.4,57,698,4.33,4.31,2.74,29388
0.7,Good,G,VS1,60.6,61,2591,5.71,5.77,3.48,52936
0.5,Very Good,H,VS2,63.9,57,1387,5.04,5.07,3.23,43128
0.32,Ideal,F,VS1,61.2,56.2,695,4.41,4.44,2.71,29212
0.43,Very Good,F,SI1,62.5,56,792,4.82,4.85,3.02,32447
0.31,Ideal,D,VS2,62.2,56,942,4.33,4.32,2.69,36457
2.06,Premium,G,SI2,59.8,61,15949,8.26,8.22,4.93,26425
1.04,Ideal,I,VS1,61.8,56,5229,6.49,6.51,4.02,12353
2.38,Premium,H,SI1,58.2,60,16643,8.81,8.78,5.12,26793
0.7,Good,F,SI1,63.7,58,2242,5.62,5.65,3.59,50338
1.01,Premium,G,VS1,62.7,58,6618,6.41,6.38,4.01,16572
0.33,Ideal,G,VS2,61.2,55,579,4.46,4.52,2.75,7382
1,Good,H,SI1,63.8,53,4596,6.39,6.27,4.04,9453
0.91,Premium,H,VS2,62.5,59,4018,6.19,6.09,3.84,6288
2.08,Ideal,J,IF,61,55,17986,8.32,8.25,5.05,27401
0.44,Very Good,D,VS2,62.8,58,850,4.79,4.86,3.03,34044
1.5,Ideal,H,VS1,61,56.8,11557,7.36,7.4,4.5,23546
0.56,Ideal,D,SI1,62.3,56,1723,5.26,5.33,3.3,45955
0.32,Ideal,D,VS2,62.6,55,972,4.39,4.37,2.74,37177
1.11,Ideal,H,SI2,61.2,56,5496,6.7,6.69,4.1,13305
0.9,Good,I,VS1,63.3,59,3644,6.06,6.1,3.85,4558
