id,duration,bitrate,bitrate.video.,height,width,frame.rate,frame.rate.est..,codec,category
uDNj-_5ty48,267,373,274,568,320,29.97,0,h264,Music
WCgt-AactyY,31,1261,1183,640,480,24,0,h264,People & Blogs
h9Kt-GhvVlg,333,727,638,384,288,25,0,h264,People & Blogs
Wscj-i5jTjc,67,633,522,854,480,29.92,0,h264,Nonprofits & Activis
dtMj-hglvaI,1000,2862,2703,1280,720,29.97,29.97,h264,Sports
6GVW-EHpDb0,59,480,436,480,270,25,0,h264,News & Politics
v1PH-xb4M2U,17,8991,8804,1080,1920,30,30,h264,People & Blogs
NOMf-ThvDq4,130,1268,1157,640,480,29.97,0,h264,Gaming
veQAJ4qlltU,58,739,648,640,356,23.98,0,h264,Comedy
vVbI-pvRMw8,28,310,177,640,480,15,0,h264,Film & Animation
_Vfi-nip7d4,77,935,816,640,360,29.97,0,h264,Sports
#NAME?,38,433,355,360,480,30,0,h264,Comedy
nUlh-0CWHZc,304,432,302,352,262,29.97,0,h264,People & Blogs
vBWO-ydvmvc,323,1290,1180,800,480,29.97,0,h264,Entertainment
1RoS-kGBnR8,171,584,511,568,320,30,0,h264,Comedy
TCsX-lPnar0,102,483,354,600,480,25,0,h264,News & Politics
1rOz-vV3e7I,11,666,668,640,480,30,0,h264,People & Blogs
QMJ-o1Dt_QQ,85,2532,2378,1280,720,29.97,29.97,h264,Gaming
lOa9-RnhaVA,121,1303,1108,1280,720,30,30,h264,People & Blogs
SQ_F-B3DaCo,136,6135,5982,1920,1080,29.97,29.97,h264,Gaming
MpYZ-dszuPo,437,693,592,568,320,29.97,0,h264,Howto & Style
54kE-lF8gOY,297,3905,3756,1920,1080,29.97,29.97,h264,Nonprofits & Activis
rhIY-6Pjv3I,49,489,396,480,270,24,0,h264,Autos & Vehicles
vVu-zvs5hyg,25,805,812,640,360,25,0,h264,Gaming
XT-U-ZEF5ww,69,968,893,640,480,24,0,h264,People & Blogs
E10P-m-1i50,177,452,322,320,240,29.97,0,h264,Education
dCOE-XT5-Wo,33,1992,1798,1906,1080,25,25,h264,Howto & Style
EtV5-rrR4qU,355,594,469,640,360,25,0,h264,Nonprofits & Activis
RewH-apJerw,13,783,682,640,480,27.25,0,h264,Gaming
